Vertical	Streamwise	Spanwise	Thermocouples/ai1 mean	Thermocouples/ai1 variance	4492/ai2 mean	4492/ai2 variance
-64.999870	-29.999929	-64.999870	20.0049599692	0.0000080525	0.2200137277	0.0000004759
-64.999870	-29.999929	-64.999870	20.0044728120	0.0000122824	0.2172581626	0.0000007546
-64.999870	-29.999929	-64.999870	20.0071414940	0.0000089152	0.2145784512	0.0000005760
-64.999870	-29.999929	-64.999870	20.0063124034	0.0000042572	0.2122989490	0.0000002968
-64.999870	-29.999929	-64.999870	20.0072511312	0.0000177554	0.2099140805	0.0000005214
-64.999870	-29.999929	-64.999870	20.0076951579	0.0000201356	0.2079362531	0.0000005480
-64.999870	-29.999929	-64.999870	20.0061843422	0.0000100022	0.2054934125	0.0000006613
-64.999870	-29.999929	-64.999870	20.0055660958	0.0000130316	0.2034423890	0.0000003446
-64.999870	-29.999929	-64.999870	20.0039279325	0.0000192605	0.2016106969	0.0000010397
-64.999870	-29.999929	-64.999870	20.0065950575	0.0000349703	0.2074156287	0.0000054825
-64.999870	-29.999929	-64.999870	20.0032000488	0.0000379550	0.2282187560	0.0000314716
-64.999870	-29.999929	-64.999870	20.0054655156	0.0000165621	0.2622853243	0.0000617299
-64.999870	-29.999929	-64.999870	20.0039376061	0.0000211447	0.3066628906	0.0000853590
-64.999870	-29.999929	-64.999870	20.0046452303	0.0000219739	0.3587987386	0.0001260504
-64.999870	-29.999929	-64.999870	20.0040080650	0.0000084841	0.4228267049	0.0001819726
-64.999870	-29.999929	-64.999870	20.0033761912	0.0000127581	0.4997813604	0.0002400994
-64.999870	-29.999929	-64.999870	20.0018957967	0.0000099366	0.5713270502	0.0001267233
-64.999870	-29.999929	-64.999870	20.0041756577	0.0000121937	0.6139958522	0.0000413423
-64.999870	-29.999929	-64.999870	20.0041074636	0.0000059534	0.6476638919	0.0000444185
-64.999870	-29.999929	-64.999870	20.0002260369	0.0000204956	0.6769073020	0.0000158055
-64.999870	-29.999929	-64.999870	20.0001997694	0.0000356217	0.6921206518	0.0000158854
-64.999870	-29.999929	-64.999870	20.0018858276	0.0000192255	0.7078005759	0.0000177774
-64.999870	-29.999929	-64.999870	19.9983830880	0.0000108838	0.7141948991	0.0000043725
-64.999870	-29.999929	-64.999870	19.9968128815	0.0000080089	0.7213035993	0.0000156824
-64.999870	-29.999929	-64.999870	19.9968166617	0.0000267818	0.7272761638	0.0000119180
-64.999870	-29.999929	-64.999870	19.9966922117	0.0000248733	0.7275274852	0.0000127351
-64.999870	-29.999929	-64.999870	20.0004642902	0.0000234842	0.7322259080	0.0000096452
-64.999870	-29.999929	-64.999870	20.0038148606	0.0000135942	0.7318065244	0.0000102998
-64.999870	-29.999929	-64.999870	20.0003588770	0.0000285341	0.7346313523	0.0000096135
-64.999870	-29.999929	-64.999870	20.0013949029	0.0000281967	0.7340763902	0.0000095245
-64.999870	-29.999929	-64.999870	19.9999014463	0.0000055375	0.7359025148	0.0000097638
-64.999870	-29.999929	-64.999870	20.0023710383	0.0000391390	0.7354505456	0.0000059723
-64.999870	-29.999929	-64.999870	20.0014104440	0.0000174979	0.7370485683	0.0000092355
-64.999870	-29.999929	-64.999870	19.9994475237	0.0000109710	0.7377130416	0.0000083060
-64.999870	-29.999929	-64.999870	20.0031516673	0.0000191049	0.7344464984	0.0000084728
-64.999870	-29.999929	-64.999870	19.9995327758	0.0000154216	0.7384931514	0.0000070331
-64.999870	-29.999929	-64.999870	20.0030532461	0.0000143546	0.7352892133	0.0000085751
-64.999870	-29.999929	-64.999870	20.0012368677	0.0000228366	0.7377983091	0.0000087576
-64.999870	-29.999929	-64.999870	19.9996153288	0.0000314330	0.7377119226	0.0000072068
-64.999870	-29.999929	-64.999870	20.0016697363	0.0000238034	0.7369094464	0.0000064391
-64.999870	-29.999929	-64.999870	20.0000163629	0.0000169386	0.7377598599	0.0000083801
-64.999870	-29.999929	-64.999870	20.0015910084	0.0000187512	0.7352829093	0.0000080811
-64.999870	-29.999929	-64.999870	20.0000028025	0.0000331236	0.7397426678	0.0000101748
-64.999870	-29.999929	-64.999870	19.9991482764	0.0000141950	0.7348556229	0.0000090073
-64.999870	-29.999929	-64.999870	20.0008528081	0.0000232695	0.7379947805	0.0000082154
-64.999870	-29.999929	-64.999870	19.9990930768	0.0000087129	0.7365257878	0.0000044429
-64.999870	-29.999929	-64.999870	20.0018973155	0.0000099344	0.7371775940	0.0000100144
-64.999870	-29.999929	-64.999870	20.0018629306	0.0000096252	0.7368025436	0.0000067024
-64.999870	-29.999929	-64.999870	20.0008727052	0.0000298749	0.7369919704	0.0000098910
-64.999870	-29.999929	-64.999870	20.0016438119	0.0000132338	0.7362589559	0.0000066762
-64.999870	-29.999929	-64.999870	20.0025639082	0.0000211696	0.7365840216	0.0000135448
-64.999870	-29.999929	-64.999870	20.0024458687	0.0000212704	0.7381030866	0.0000125544
-64.999870	-29.999929	-64.999870	20.0003043617	0.0000207620	0.7347232685	0.0000117915
-64.999870	-29.999929	-64.999870	20.0016966130	0.0000108298	0.7374302823	0.0000089114
-64.999870	-29.999929	-64.999870	20.0019822151	0.0000284544	0.7349940266	0.0000152578
-64.999870	-29.999929	-64.999870	20.0013123080	0.0000091809	0.7353240964	0.0000139706
-64.999870	-29.999929	-64.999870	20.0004641146	0.0000204855	0.7369551304	0.0000091644
-64.999870	-29.999929	-64.999870	20.0017853405	0.0000145033	0.7351214921	0.0000121540
-64.999870	-29.999929	-64.999870	20.0014513735	0.0000122370	0.7440947097	0.0000186012
-64.999870	-29.999929	-64.999870	20.0002199330	0.0000347288	0.7610835998	0.0000255907
-64.999870	-29.999929	-64.999870	20.0003777882	0.0000208167	0.7933175480	0.0000832513
-64.999870	-29.999929	-64.999870	19.9983883974	0.0000172698	0.8553223300	0.0001969376
-64.999870	-29.999929	-64.999870	19.9994282370	0.0000241428	0.9373077244	0.0003714155
-64.999870	-29.999929	-64.999870	19.9996550456	0.0000463503	1.0479356281	0.0005579998
-64.999870	-29.999929	-64.999870	19.9983324207	0.0000293185	1.1718803793	0.0006785729
-64.999870	-29.999929	-64.999870	19.9982271911	0.0000212566	1.3058073442	0.0007814097
-64.999870	-29.999929	-64.999870	19.9965788230	0.0000200293	1.4475547446	0.0008959780
-64.999870	-29.999929	-64.999870	19.9955244385	0.0000125190	1.6036095547	0.0009443947
-64.999870	-29.999929	-64.999870	19.9915162591	0.0000237241	1.7709751130	0.0011504489
-64.999870	-29.999929	-64.999870	19.9921650888	0.0000202824	1.9481370454	0.0012697394
-64.999870	-29.999929	-64.999870	19.9901239983	0.0000165599	2.1329494470	0.0013805570
-64.999870	-29.999929	-64.999870	19.9934565362	0.0000252702	2.3266706248	0.0015454328
-64.999870	-29.999929	-64.999870	19.9943031771	0.0000097104	2.5254339576	0.0016513259
-64.999870	-29.999929	-64.999870	19.9964192970	0.0000224516	2.7188562888	0.0011897547
-64.999870	-29.999929	-64.999870	19.9975529534	0.0000200990	2.8475489500	0.0002341059
-64.999870	-29.999929	-64.999870	19.9946951970	0.0000107278	2.8737717332	0.0000461141
-64.999870	-29.999929	-64.999870	19.9956525812	0.0000289323	2.8613617424	0.0000240291
-64.999870	-29.999929	-64.999870	19.9986818923	0.0000216610	2.8622738322	0.0000299506
-64.999870	-29.999929	-64.999870	19.9963561969	0.0000180610	2.8762825340	0.0000246739
-64.999870	-29.999929	-64.999870	19.9953750289	0.0000122863	2.8864983109	0.0000509583
-64.999870	-29.999929	-64.999870	19.9947848523	0.0000254984	2.8915174682	0.0000166791
-64.999870	-29.999929	-64.999870	19.9967401202	0.0000290780	2.8839616280	0.0000665729
-64.999870	-29.999929	-64.999870	19.9945346153	0.0000221970	2.8823429209	0.0000201502
-64.999870	-29.999929	-64.999870	20.0014453596	0.0000190568	2.8831207985	0.0000421657
-64.999870	-29.999929	-64.999870	19.9978513321	0.0000046135	2.8824843080	0.0000449106
-64.999870	-29.999929	-64.999870	19.9989645873	0.0000297540	2.8838287386	0.0000338351
